mem,desc,date_diff,date_var,amt,cat,discret,sub,label
"1000164415352201","creditforteascomptrollrtrsannuitycoref",4.29,0.14,0,"Taxes",FALSE,FALSE,1
"1000164415352201","cityofaustintpaymentcoref",4.29,0.27,24.68,"Credit Card Payments",TRUE,FALSE,0
"1000164415352201","teaspublicempbankdraftcorefid",4.38,0.09,0,"Checks",FALSE,FALSE,1
"1000164415352201","checkcleared",2.48,2.9,331.01,"Checks",FALSE,FALSE,0
"1000164415352201","onegasteasprutilpaymtcoref",4.57,0.16,0.05,"Utilities",FALSE,FALSE,1
"1000164415352201","creditforssatreassocseccorefassa",4.5,0.5,0,"Deposits",FALSE,FALSE,1
"1000164415352201","interestcredit",1.33,1.12,6.19,"Interest",FALSE,FALSE,0
"1000164415352201","iodinterestpaid",4.36,0.01,0,"Interest",FALSE,FALSE,1
"1000564012973460","usaafundstransferdb",4.33,0.05,0,"Transfers",FALSE,FALSE,1
"1000564012973460","dfasclevelandcrscpay",4.21,0.01,0,"Retirement Income",FALSE,FALSE,1
"1000564013171293","gapvisagapepay",4.33,0.19,3.63,"Clothing/Shoes",TRUE,FALSE,0
"1000564013171293","aplitunescomca",1.43,0.65,2.19,"Entertainment",TRUE,FALSE,0
"1000564013171293","walmartwarrensburgmo",1.21,2.37,180.14,"General Merchandise",TRUE,FALSE,0
"1000564013171293","wendysofmissowarrensburgmo",0.29,NA,16.03,"Restaurants/Dining",TRUE,FALSE,0
"1000564013171293","attpaymentpayw",4.33,0.01,4.87,"Telephone Services",FALSE,FALSE,0
"1000564013171293","aafeswhitemanwhitemanafbmo",1.33,0.62,1.43,"General Merchandise",TRUE,FALSE,0
"1000564013171293","dairyqueenwarrensburgmo",3.36,6.38,3.34,"Restaurants/Dining",TRUE,FALSE,0
"1000564013171293","targetdebitcrdachtran",1.29,NA,17.92,"General Merchandise",TRUE,FALSE,0
"1000564013171293","wmsupercwalmartsupmyrtlebeachsc",0.14,NA,100.36,"General Merchandise",TRUE,FALSE,0
"1000564013171293","aldiwarrensburgmo",2.11,0.78,9.84,"Groceries",TRUE,FALSE,0
"1000564013171293","walmartsupercenterwarrensburgmo",4.5,4.5,39.68,"General Merchandise",TRUE,FALSE,0
"1000564013171293","redbodvdrenoakbrookteril",9.86,NA,0,"Entertainment",TRUE,FALSE,0
