"","mem","trans","desc","date_diff","date_var","amt","cat","discret","sub","pred"
"1000524411246510.1","1000524411246510","100052441900534049","pospurchaseposdollartreewilmingtonde","1.5",1.72,0,"General Merchandise",TRUE,FALSE,"Invalid"
"1000524411246510.2","1000524411246510","100052441947291559","pospurchaseposkohlswilmingtonde","0.86",0,0,"Clothing/Shoes",TRUE,FALSE,"Invalid"
"1000524411246510.3","1000524411246510","100052441879801041","pospurchaseposshopritewilmistantonde","0.7",0.34,0,"Groceries",TRUE,FALSE,"Invalid"
"1000524411246510.4","1000524411246510","100052441877233489","pospurchaseposwawamarshalltonde","0.73",0.71,0,"Groceries",TRUE,FALSE,"Invalid"
"1000524411246510.5","1000524411246510","100052441894921748","pospurchasepospremierwinewilmingtonde","2.21",2.95,0,"Groceries",TRUE,FALSE,"Invalid"
"1000524411246510.6","1000524411246510","100052441844323194","debitcardpurchasecityofnewarkpkngnewarkde","2",2,0,"Other Expenses",TRUE,FALSE,"Invalid"
"1000524411246510.7","1000524411246510","100052441836947908","debitcardpurchaseaplitunescombillca","9.43",0,0,"Other Expenses",TRUE,FALSE,"Invalid"
"1000524411246510.8","1000524411246510","100052441877233485","achcreditstateofdelawardirdep","1.94",0.02,0,"Other Income",FALSE,FALSE,"Valid"
"1000524411246510.9","1000524411246510","100052441836948210","atmwithdrawalpncpankirkwoodhwywilmingtonde","4",0,0,"ATM/Cash Withdrawals",TRUE,FALSE,"Invalid"
"1000524411246510.10","1000524411246510","100052441900534035","debitcardpurchasejamesstreettavernwilmingtonde","4.15",19.79,0,"Other Expenses",TRUE,FALSE,"Invalid"
"1000524411246510.11","1000524411246510","100052442023625076","debitcardpurchasehibachisteakhousennewarkde","0",0,0,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000524411246510.12","1000524411246510","100052441900534046","debitcardpurchasemilburnorchardselktonmd","0",0,0,"Groceries",TRUE,FALSE,"Invalid"
"1000524411246510.13","1000524411246510","100052441896337787","debitcardpurchasemoesswgrillwilmingtonde","8.15",0,0,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000524411246510.14","1000524411246510","100052441994168644","pospurchasepospetcowilmingtonde","1.29",1.01,0,"Pets/Pet Care",TRUE,FALSE,"Invalid"
"1000524411246510.15","1000524411246510","100052441877233491","onlinetransferto","0.69",0.37,0,"Transfers",FALSE,FALSE,"Invalid"
"1000524411246510.16","1000524411246510","100052442006613751","pospurchaseposwalgreenswilmingtonde","2.43",0,0,"Healthcare/Medical",TRUE,FALSE,"Invalid"
"1000564012245885.1","1000564012245885","100056405756547036","littlecaesarsleingtonky","3",16.33,0,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000564012245885.2","1000564012245885","100056405756547025","shelloilleingtonky","0.62",1.46,0,"Gasoline/Fuel",TRUE,FALSE,"Invalid"
"1000564012245885.3","1000564012245885","100056405756547026","shellservicesleingtonky","1.37",2.04,0,"Gasoline/Fuel",TRUE,FALSE,"Invalid"
"1000564012245885.4","1000564012245885","100056405763804995","amazonmktplaceamzncombillwa","1.06",1.5,0,"General Merchandise",TRUE,FALSE,"Invalid"
"1000564012245885.5","1000564012245885","100056405763804992","eperiancrca","4.43",0.04,0,"Online Services",TRUE,FALSE,"Invalid"
"1000564012245885.6","1000564012245885","100056405769484212","timewarnerswohonlinepmtpos","4.47",0.59,0,"Cable/Satellite Services",FALSE,FALSE,"Invalid"
"1000564012245885.7","1000564012245885","100056405776913094","amazonserviceswa","1.43",1.84,0,"Online Services",TRUE,FALSE,"Invalid"
"1000564012245885.8","1000564012245885","100056405795043415","cvsbeavercreekoh","1.98",1.86,0,"Healthcare/Medical",TRUE,FALSE,"Invalid"
