"","mem","trans","desc","date_diff","date_var","amt","cat","discret","sub","pred"
"1000524411246510.1","1000524411246510","100052441900534049","pospurchaseposdollartreewilmingtonde","1.5",1.72,1.04,"General Merchandise",TRUE,FALSE,"Invalid"
"1000524411246510.2","1000524411246510","100052441947291559","pospurchaseposkohlswilmingtonde","0.86",NA,40.87,"Clothing/Shoes",TRUE,FALSE,"Invalid"
"1000524411246510.3","1000524411246510","100052441879801041","pospurchaseposshopritewilmistantonde","0.7",0.34,50.75,"Groceries",TRUE,FALSE,"Invalid"
"1000524411246510.4","1000524411246510","100052441877233489","pospurchaseposwawamarshalltonde","0.73",0.71,1.28,"Groceries",TRUE,FALSE,"Invalid"
"1000524411246510.5","1000524411246510","100052441894921748","pospurchasepospremierwinewilmingtonde","2.21",2.95,0.02,"Groceries",TRUE,FALSE,"Invalid"
"1000524411246510.6","1000524411246510","100052441844323194","debitcardpurchasecityofnewarkpkngnewarkde","2",2,0,"Other Expenses",TRUE,FALSE,"Invalid"
"1000524411246510.7","1000524411246510","100052441836947908","debitcardpurchaseaplitunescombillca","9.43",NA,0,"Other Expenses",TRUE,FALSE,"Invalid"
"1000524411246510.8","1000524411246510","100052441877233485","achcreditstateofdelawardirdep","1.94",0.02,0.68,"Other Income",FALSE,FALSE,"Valid"
"1000524411246510.9","1000524411246510","100052441836948210","atmwithdrawalpncpankirkwoodhwywilmingtonde","4",NA,10,"ATM/Cash Withdrawals",TRUE,FALSE,"Invalid"
"1000524411246510.10","1000524411246510","100052441900534035","debitcardpurchasejamesstreettavernwilmingtonde","4.15",19.79,0.82,"Other Expenses",TRUE,FALSE,"Invalid"
"1000524411246510.11","1000524411246510","100052442023625076","debitcardpurchasehibachisteakhousennewarkde","0",NA,34.99,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000524411246510.12","1000524411246510","100052441900534046","debitcardpurchasemilburnorchardselktonmd","0",NA,23.17,"Groceries",TRUE,FALSE,"Invalid"
"1000524411246510.13","1000524411246510","100052441896337787","debitcardpurchasemoesswgrillwilmingtonde","8.15",NA,0,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000524411246510.14","1000524411246510","100052441994168644","pospurchasepospetcowilmingtonde","1.29",1.01,2,"Pets/Pet Care",TRUE,FALSE,"Invalid"
"1000524411246510.15","1000524411246510","100052441877233491","onlinetransferto","0.69",0.37,318.13,"Transfers",FALSE,FALSE,"Invalid"
