mem,desc,date_diff,date_var,amt,cat,discret,sub
"1000564012609530","deltacocathederalcica",3.93,30.87,0.07,"Restaurants/Dining",TRUE,FALSE
"1000564012609530","circlekmentoneca",1.57,0.26,3.07,"Gasoline/Fuel",TRUE,FALSE
"1000564012609530","staterbrosmarketredlandsca",1.26,0.5,2.24,"Groceries",TRUE,FALSE
"1000564012609530","atmsurchargerebatesr",4.14,0,0,"ATM/Cash Withdrawals",TRUE,FALSE
"1000564012609530","vistachinocathedralcitca",0.86,0,10.4,"ATM/Cash Withdrawals",TRUE,FALSE
"1000564012609530","metropcst",3.36,2.95,0.03,"Telephone Services",FALSE,FALSE
"1000564012609530","dfasinindinarmyrc",2.24,1.76,80.02,"Deposits",FALSE,FALSE
"1000564012609530","sentrydairylawi",4,0,0,"Groceries",TRUE,FALSE
"1000564012609530","sqjennysdonredlandsca",2.05,3.19,0.2,"Uncategorized",FALSE,FALSE
"1000564012609530","jackintheboredlandsca",3.21,0.26,1.54,"Restaurants/Dining",TRUE,FALSE
"1000564012609530","mcdonaldsfredlandsca",0.14,0,0,"Restaurants/Dining",TRUE,FALSE
"1000564012609530","tacovillagereredlandsca",5.71,0,0.07,"Entertainment",TRUE,FALSE
"1000564012609530","walmartredlandsca",5.43,0,28.78,"General Merchandise",TRUE,FALSE
"1000564012609530","littleceasarscatherdralcica",1,0,0,"Restaurants/Dining",TRUE,FALSE
"1000564012609530","staterbroscathedralcitca",0.64,0.26,6.37,"Groceries",TRUE,FALSE
"1000564013137781","vzwirelessvevzwwebpay",4.29,0.27,0,"Telephone Services",FALSE,FALSE
"1000564013137781","aafesusmagaswestpointny",7,0,1.12,"General Merchandise",TRUE,FALSE
"1000564013137781","aafeswestpointny",5,2,35.89,"General Merchandise",TRUE,FALSE
"1000564013137781","amazonvideoonwa",3,0,0,"Entertainment",TRUE,FALSE
"1000564013137781","paradiesphiladelphiapa",0,0,0.68,"General Merchandise",TRUE,FALSE
"1000564013137781","usaacompaymntpc",2.57,2.27,5,"Insurance",FALSE,FALSE
"1000564013137781","atmsurchargerebatesr",4.36,0.09,2.72,"ATM/Cash Withdrawals",TRUE,FALSE
"1000564013137781","thecadetrestawestpointny",0.53,0.22,1.71,"Restaurants/Dining",TRUE,FALSE
"1000564013137781","usmabookstorewestpointny",3.33,7.7,3.13,"Office Supplies",TRUE,FALSE
"1000564013137781","fedpaymnt",11,0,78.22,"Taxes",FALSE,FALSE
"1000564013137781","americanburrithighlandfallny",6,32,2.3,"Uncategorized",FALSE,FALSE
"1000564013137781","westpoinbldgwestpontusmny",2.5,0.5,28.9,"Uncategorized",FALSE,FALSE
"1000564013137781","usaafundstransfercr",1.38,0.86,559.37,"Transfers",FALSE,FALSE
"1000564013137781","usaafundstransferdb",1.38,0.86,559.37,"Transfers",FALSE,FALSE
"1000564013137781","dfasinindinarmyallt",4.21,0.01,0,"Wages Paid",FALSE,FALSE
"1000564013137781","interestpaidgt",2.81,4.25,0.08,"Interest",FALSE,FALSE
"1000564013137781","surveymonkeycoca",4.43,0,10.68,"Online Services",TRUE,FALSE
"1000564013137781","metronorthtvmtomnewyorkny",0,0,0,"Travel",TRUE,FALSE
"1000564013137781","aafesusmasubwwestpointny",2,1,1.19,"General Merchandise",TRUE,FALSE
"1000564013137781","aafesaberdeenprovmd",2,6.9,8.25,"General Merchandise",TRUE,FALSE
"1000564013137781","dunkinaberdeenmd",1.48,3.29,0.07,"Restaurants/Dining",TRUE,FALSE
"1000564013137781","chickfilaaberdeenmd",4,0,0,"Restaurants/Dining",TRUE,FALSE
