mem,trans,desc,date_diff,date_var,amt,cat,discret,sub,label
"1000164415352201","10001644502289052","creditforteascomptrollrtrsannuitycoref","4.29",0.14,0,"Taxes",FALSE,FALSE,"Valid"
"1000164415352201","10001644503664798","cityofaustintpaymentcoref","4.29",0.27,24.68,"Credit Card Payments",FALSE,FALSE,"Invalid"
"1000164415352201","10001644506827852","teaspublicempbankdraftcorefid","4.38",0.09,0,"Checks",FALSE,FALSE,"Valid"
"1000164415352201","10001644469921328","checkcleared","2.48",2.9,331.01,"Checks",FALSE,FALSE,"Invalid"
"1000164415352201","10001644512260532","onegasteasprutilpaymtcoref","4.43",0.14,0.35,"Utilities",FALSE,FALSE,"Invalid"
"1000164415352201","10001644511342780","creditforssatreassocseccorefassa","4.33",0.33,0,"Deposits",FALSE,FALSE,"Invalid"
"1000164415352201","10001644516295012","interestcredit","1.86",2.86,5.32,"Interest",FALSE,FALSE,"Invalid"
"1000164415352201","10001644498405808","iodinterestpaid","4.36",0.01,0,"Interest",FALSE,FALSE,"Valid"
"1000564012609530","100056406033145744","deltacocathederalcica","3.93",30.87,0.07,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000564012609530","100056406159554752","circlekmentoneca","1.57",0.26,3.07,"Gasoline/Fuel",TRUE,FALSE,"Invalid"
"1000564012609530","100056406159554752","staterbrosmarketredlandsca","1.26",0.5,2.24,"Groceries",TRUE,FALSE,"Invalid"
"1000564012609530","100056406315939696","atmsurchargerebatesr","6.5",11.11,0.6,"ATM/Cash Withdrawals",TRUE,FALSE,"Invalid"
"1000564012609530","100056405933086992","vistachinocathedralcitca","0.86",0,10.4,"ATM/Cash Withdrawals",TRUE,FALSE,"Invalid"
"1000564012609530","100056406343350672","metropcst","3.95",2.54,0.02,"Telephone Services",FALSE,FALSE,"Invalid"
"1000564012609530","100056406338110336","dfasinindinarmyrc","2.89",2.89,514.85,"Deposits",FALSE,FALSE,"Invalid"
"1000564012609530","100056406073069600","sentrydairylawi","4",0,0,"Groceries",TRUE,FALSE,"Invalid"
"1000564012609530","100056406311165568","sqjennysdonredlandsca","1.97",3.08,0.15,"Uncategorized",FALSE,FALSE,"Invalid"
"1000564012609530","100056406179850288","jackintheboredlandsca","3.21",0.26,1.54,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000564012609530","100056406009351712","mcdonaldsfredlandsca","0.14",0,0,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000564012609530","100056406315939680","tacovillagereredlandsca","3.5",9.81,0.12,"Entertainment",TRUE,FALSE,"Invalid"
"1000564012609530","100056406257994560","walmartredlandsca","5.43",0,28.78,"General Merchandise",TRUE,FALSE,"Invalid"
"1000564012609530","100056406179850288","littleceasarscatherdralcica","1",0,0,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000564012609530","100056406195227168","staterbroscathedralcitca","0.64",0.26,6.37,"Groceries",TRUE,FALSE,"Invalid"
"1000564012973460","100056406226448224","usaafundstransferdb","4.33",0.05,0,"Transfers",FALSE,FALSE,"Valid"
"1000564012973460","100056406200634032","dfasclevelandcrscpay","4.21",0.01,0,"Retirement Income",FALSE,FALSE,"Valid"
"1000564013137781","100056406215813568","vzwirelessvevzwwebpay","4.29",0.27,0,"Telephone Services",FALSE,FALSE,"Invalid"
"1000564013137781","100056406028432704","aafesusmagaswestpointny","7",0,1.12,"General Merchandise",TRUE,FALSE,"Invalid"
"1000564013137781","100056406308836224","amazoncomamzncombillwa","12.71",0,1.94,"General Merchandise",TRUE,FALSE,"Invalid"
"1000564013137781","100056406261624832","aafeswestpointny","5",2,35.89,"General Merchandise",TRUE,FALSE,"Invalid"
